"","beta.Bourbonene","beta.Copaen.4a.ol","Sesquisabinene","gamma.Muurolene","X.Z..3.Hexenyl..E..2.methyl.2.butenoate","alpha.Copaene","alpha.Cubebene","beta.Bisabolene","beta.Copaene","beta.Myrcene","gamma.Terpinene","X2.methylbutyl.acetate","Isohexanol","Cyclosativene","p.Mentha.1.3.8.triene","X2.2.6.Trimethyl.1.4.cyclohexanedione","X2.6.Dimethylocta.1.5.7.trien.3.ol","X2.Methyl.6.methylene.1.7.octadien.3.one","X2.6.Dimethyl.1.7.octadien.3.6.diol","Linalool.Oxide","X2.Heptanol","X.Z..2.Hexenol","X.E..2.Hexenal","Allo.Ocimene","Cosmene","X4.Oxoisophorone","beta.Dihydroagarofuran","Terpinen.4.ol","X.E..3.Hexenyl.acetate","X.Z..3.Hexenyl.propanoate","Methyl.3.hexenoate","Rose.furan","X2.6.Dimethyl.3.7.octadien.2.6.diol","Car.3.en.5.one","X.E..Sabinene.hydrate","Heptyl.acetate","Pentyl.acetate","Anisole","Borneol","alpha.Thujene","Verbenone","X.E..Pinocarveol","Pinocamphone","X.Z..Caryophyllene","X2.Methylbutanoic.acid","X.E..3.Hexenyl.butanoate","X.Z..3.Hexenyl.butanoate","X.Z..3.Methylbutylaldoxime","Camphene","Carveol","Caryophyllene","Caryophyllene.oxide","Limonene.Oxide","alpha.Bergamotene","X.Z..3.Hexenyl.2.methylbutanoate","X.Z..3.Hexenyl.isobutyrate","Copaene","beta.Elemene","gamma.Elemene","Terpinolene","beta.Sesquiphellandrene","D.Carvone","D.Limonene","X.E..beta.Ocimene.epoxide","epsilon.Muurolene","beta.Selinene","Carvacrol","X2.Phenylethanol","Prenol","Isobutylaldoxime","X.E..alpha.Bergamotene","X.E..beta.Ocimene","Tricyclene","alphaPinene"
"AC_60_1907015_Paul_7162019_05.qgd",0,0,0,0,0,0,0,0,0,0,0,0.0104913662844672,0.443593746190456,0,0,0,0,0,0,0,0,0,0,0,0,0.023448972587539,0,0,0.42899948174576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934664331917772
"AC_61_1907015_Paul_7162019_06.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0.305596653839241,0,0,0,0,0,0,0,0,0,0,0,0,0.124734117579842,0,0,0.181833817982281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296697404082954,0,0,0,0,0,0,0,0,0,0,0.0911380065156816
"AC_62_1907015_Pau_7162019_08.qgd",0,0,0,0,0,0,0,0,0,0,0,0.0039372343246179,0.140062030123419,0,0,0,0,0,0,0,0,0.00101844011666196,0.0557437200112899,0,0,0.00177088411635406,0,0,0.725552519265474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562458839025308,0,0,0,0,0,0,0,0,0,0,0.0156692881396522
"AC_63_1907015_Paul_7162019_09.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0.171641489789362,0,0,0,0,0,0,0,0,0,0,0,0,0.147866286981079,0,0,0.625025860894459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0554663623351
"AC_83_190719_Paul_832019_03.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0.216402438878078,0,0,0,0,0,0,0,0,0,0,0,0,0.309132115493978,0,0,0.223982541049889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106565342688285,0,0,0,0,0,0,0,0,0,0,0,0.0967968729379075,0,0,0,0,0,0,0,0,0,0,0.0471206889518631
"ACAug5_08242017.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228408923484316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519102470164905,0,0,0,0,0,0,0,0,0,0,0.252488606350779
"ACAug9_08262017.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0.419641408404998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580358591595002
"Achmil1Jun27_08232018.qgd",0,0,0.0218606749311383,0.0117845893259477,0.0220115554459591,0,0,0,0,0.094079582030182,0.0201641030878288,0,0,0,0,0,0,0.0115443480300278,0,0,0,0,0.0105691415732655,0,0,0,0,0,0.170422299934811,0,0,0,0,0,0,0,0,0,0,0.0138454683306803,0,0,0,0,0,0,0.0264937074742435,0,0,0,0.0482085055811036,0,0,0,0.00668249286942023,0,0.0212067952170364,0,0,0,0,0,0.491236420914041,0,0,0,0,0,0,0,0,0,0,0.0298903152543151
"Achmil2Jul17_08232018.qgd",0,0,0,0,0,0.00667547176153238,0,0,0,0.0606120954117811,0,0,0,0,0,0,0,0.00698773287572844,0.0192513991061517,0,0.171519428001267,0,0,0,0,0.0132235838681828,0,0,0.0661851782409263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373303147861758,0,0.00231097430793013,0,0,0,0,0,0,0,0,0.00906584269384724,0.584190714288135,0,0,0,0,0,0,0,0,0,0,0.0226472646583424
"Achmil4Aug6_08222018.qgd",0,0,0,0,0,0,0,0,0,0.589291833263424,0,0,0,0,0,0,0.0595310071028278,0,0,0,0,0.00159604325394649,0.00834142834788177,0.00342823751671538,0.00335813006674736,0,0,0.00441767735696928,0.0278991635726451,0,0,0,0,0,0,0,0,0,0,0.00202283036747078,0,0,0,0,0,0,0,0.0199053500591335,0,0,0.0252459079087216,0.0109244621069233,0,0,0.00166223634585687,0,0.0244605411800692,0.00633446906181429,0.00470509653692088,0,0.0116592016119647,0.00203819021692502,0.173676625739726,0,0,0,0,0,0.00153894551253261,0,0,0,0,0.0179626228707838
"Achmil5Aug8_08222018.qgd",0,0,0,0,0,0,0,0,0,0.0953816645004384,0.031424448114042,0,0,0,0,0,0.0241952540904883,0.0352695266088919,0,0,0,0,0,0,0,0,0,0.0742368021447613,0,0,0,0,0,0,0.597266255222805,0,0,0,0,0.0191673535535724,0,0,0,0,0,0,0,0,0,0,0,0.069498259111413,0,0,0,0,0,0,0,0,0,0,0.0198699593336909,0,0,0,0,0,0,0,0,0,0,0.0336904773198966
"ACJul21_08162017.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0.452499367248798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304956551084114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242544081667088
"ACJul26_08242017.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776714686458741,0,0,0,0,0,0,0,0.0857479861343186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0711789860922091,0,0,0,0,0,0,0,0,0,0,0.0663583413147311
"AM_84_190719_Paul_832019_04.qgd",0,0,0,0,0.0435408368259515,0,0,0,0,0,0.0261146251777913,0,0,0,0,0,0,0,0,0,0.147456107059241,0,0,0,0,0.249994338507074,0,0.043283545846224,0.381364711737243,0,0,0,0,0,0,0,0,0,0,0.016303189726041,0,0,0,0,0,0,0,0,0,0,0.0483679757584422,0,0,0,0,0,0.043574669361992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AM_91_190722_Paul_832019_11.qgd",0,0,0,0,0,0,0,0,0,0.269623707344574,0,0,0,0,0,0,0,0.00819352258397985,0,0,0,0.00314265895923843,0,0,0,0.0228192102630004,0,0,0.580717025005584,0,0,0,0,0,0,0,0.0180710976454478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0662709340111161,0,0,0,0,0,0,0,0,0,0,0.0311618441870594
"AM_92_190722_Paul_842019_02.qgd",0,0,0.00432864500165676,0,0,0.00868209980868143,0,0,0,0.0189658473880603,0.0107868538003127,0,0,0,0,0,0,0,0,0,0,0.043938831341611,0.108469051849163,0,0,0.0562480747424526,0,0,0.582389700434088,0.0165038488500072,0,0,0,0,0,0,0.00892711745028465,0,0,0.00692093664508158,0,0,0,0,0,0,0.00819356310432273,0,0,0,0.00556272468275918,0.0108318111657445,0,0,0,0,0,0,0,0,0,0,0.0413676863108152,0,0,0,0,0,0.00599672976793674,0.0252025995347745,0.00478870870790867,0,0,0.0318951694143387
"AM_93_190722_Paul_842019_03.qgd",0,0,0,0,0,0,0,0,0,0.0322548527631073,0,0.00309096979334947,0.0896592082210894,0,0,0,0,0,0,0,0,0,0,0,0,0.0139965842372014,0,0,0.484495924499532,0,0,0.00787705632656768,0,0,0,0.00419732037060642,0.0086292401645746,0,0.0854059636248653,0.00211773208823942,0,0.0226079238440595,0,0,0,0,0,0,0,0,0.0188089809861237,0.0253955152255056,0,0,0,0,0.0207607424670789,0.014568350876881,0,0,0.00257095258478647,0,0.073921644573494,0,0,0.016424302325763,0,0,0.00312938390965721,0.0169402348433034,0,0,0,0.053147116274214
"AMAug5_08242017.qgd",0,0,0.0175459416367315,0,0,0,0,0,0,0.0246896342872156,0.120302913649175,0,0,0,0,0,0,0,0,0,0,0,0,0.00498781682060039,0.0086126331996809,0,0,0,0,0,0,0,0,0.0012505999173576,0.0278426794226205,0,0,0,0.264211197287676,0.00531820948940554,0,0,0,0,0,0,0,0.0287551663394394,0.0619360396518382,0,0.0127865179632484,0,0,0,0,0,0.0165420036375898,0.00628913502837416,0,0,0,0.0142194705077497,0.316222991756415,0.0165702981172591,0,0,0.00620520322747932,0,0,0.00983804821542857,0,0,0,0.0358734998447154
"AMJul21_08162017.qgd",0,0,0,0,0,0,0,0,0,0.293044059415455,0.311637169522352,0,0,0,0,0,0.0298789425707226,0.0411353264545584,0,0,0,0,0.0164594829903969,0,0,0.0236021585705804,0,0.0143247192620372,0.0668252343538661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253134827171967,0,0,0,0,0,0,0.021904473766275,0,0,0.0158859073148826,0,0.0940228062202841,0,0,0,0,0,0,0,0,0,0,0.0459662368413928
"AMJul28_08242017.qgd",0,0,0,0,0,0,0,0,0,0.0840910496599484,0,0.00454880740220592,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298671633985114,0,0,0.357729444602802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404072426644198,0.0183081545220228,0,0,0,0,0,0,0.00990130067357865,0,0,0.0914816530967333
"Arecon1Jun23_08272018.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0.125697805853531,0,0,0,0,0,0.175927460345335,0,0,0,0,0,0,0,0,0,0.368152103743974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200135377015093,0,0,0,0,0,0,0,0,0,0,0.130087253042067
"Arecon3Jul13_08262018.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0.402075927031165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.597924072968835
"Arecon4Aug3_08222018.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arecon4Jul17_08242018.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0.315373097735671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.331822175133823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203155555166395,0,0,0,0,0,0,0,0,0,0,0.149649171964112
"Camrot1Jul12_08282018.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615138831939469,0,0,0,0,0,0,0,0,0.186947322001903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197913846058627
"Camrot2Jul17_08272018.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0794144126446476,0,0,0,0,0,0,0,0,0.127793999510144,0,0,0,0,0,0.42213916769556,0,0,0,0,0,0,0,0,0.0919241408077949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278728279341854
"Camrot3Aug3_08282018.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21447704599305,0,0,0,0,0.10884648239555,0,0,0,0,0,0,0,0,0,0.24405808753329,0,0,0,0,0,0.0682158737030352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474206295521807,0,0,0,0,0,0,0,0,0,0,0,0.316981880822894
"Camrot4Aug6_08232018.qgd",0.360494219499148,0.0368592052773594,0,0,0,0,0,0,0,0,0,0,0,0.197782052319602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222274420321466,0,0,0,0,0,0,0,0,0.0682221480921485,0,0,0,0,0,0,0,0,0,0,0,0,0.114367954490276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Camrot5Aug8_08222018.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0.52507696649949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24816170563842,0,0,0,0,0,0,0,0,0.13696867061812,0,0,0,0,0,0,0,0,0,0,0,0,0.0897926572439697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CR_78_190718_Paul_832019_13.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945403092865001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0787670313906289,0,0,0,0,0,0,0,0,0.0329513486228751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6264164873507,0,0,0,0,0,0,0,0,0,0,0.167324823349296
"CR_79_190718_Paul_832019_14.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0.364549384570096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211096118241441,0,0,0,0,0,0,0,0,0.0788664792807009,0,0,0,0,0,0,0,0,0,0,0,0,0.0764531751759919,0,0,0,0,0,0,0,0,0,0,0,0.149333464832257,0,0,0,0,0,0,0,0,0,0,0.119701377899514
"CR_80_190718_Paul_832019_15.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0.169304067681563,0,0,0,0,0,0,0,0.0210960856554256,0.192691561349567,0,0,0,0,0,0.116709048107319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409378776229596,0,0,0,0,0,0,0,0,0,0,0.0908204609765289
"CR_81_190718_Paul_832019_16.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0.242563878466415,0,0,0,0,0,0,0,0,0.116658378915962,0,0,0,0,0,0.132511590293788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435276685301549,0,0,0,0,0,0,0,0,0,0,0.0729894670222865
"CR_82_190719_Paul_832019_02.qgd",0.242053015384401,0.0523980182224669,0,0,0,0,0,0,0,0,0,0,0,0.342915348611274,0,0,0,0,0,0.0829827881091208,0,0,0.0687186334915267,0,0,0,0,0,0.0365412300566383,0,0,0,0,0,0,0,0,0.0749827067922584,0,0,0,0,0,0,0,0,0,0,0,0,0.0789645581525237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02044370117979
"CRAug9_08262017.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228269246641491,0,0,0,0,0,0,0,0,0.434961288586806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194438161960878,0,0,0,0,0,0,0,0,0,0,0.142331302810825
"CRJul21_08162017.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104320669693569,0,0,0,0,0,0,0,0,0,0.23166546704918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400782537208041,0,0,0,0,0,0,0,0,0,0,0.26323132604921
"CRJul26_08242017.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539552676360337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277229722498971,0,0,0,0,0,0,0,0,0,0,0.183217601140692
"CRJul30_08242017.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136815140827542,0,0,0,0,0,0.534030971770961,0,0,0,0,0,0,0,0,0.095550421460916,0,0,0,0,0,0,0,0,0,0,0,0,0.0678571276178628,0,0,0,0,0,0,0,0,0,0,0,0.0891698364933617,0,0,0,0,0,0,0,0,0,0,0.076576501829357
"Erisub1Jun21_08272018.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172852062275154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185318297243777,0.133779753890438,0,0,0.0435713355891617,0,0,0,0,0,0,0,0.249569352921134,0,0,0,0,0,0,0,0,0,0,0.214909198080336
"Erisub2Jun27_08282018.qgd",0,0,0,0,0,0,0,0,0,0,0,0.0169229033080439,0,0,0,0,0,0,0,0,0,0,0,0,0.0139282875084428,0,0,0,0.567425876229127,0,0.0219174367980758,0,0,0.0157319285336923,0,0,0,0.0163484123098616,0,0,0,0,0,0,0,0,0.047382285677148,0,0,0,0.0275985661747522,0,0,0,0,0.0367157476269425,0,0,0,0,0,0,0.049999059585238,0,0,0,0,0.111247062600524,0.0150872323146624,0,0,0.0435391550531651,0,0.0161560462803244
"Erisub3Jul23_08272018.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316266990179211,0,0,0,0,0,0.378430588375415,0,0,0,0,0,0,0,0.0297956529424921,0,0,0,0,0,0,0,0,0,0.345573930013881,0,0,0,0.0497404154813951,0,0,0,0,0,0,0,0,0,0,0,0.0771932266997126,0,0,0,0,0,0.0688262035898923,0,0,0,0,0.0188132838792909
"ES_69_190718_Paul_832019_03.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255961693648807,0,0,0,0,0,0.340217317905743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361697113734875,0,0,0,0,0,0,0.161012829879332,0,0,0,0,0.393749664089036,0,0,0,0,0,0.0432543073875213
"ES_70_190718_Paul_832019_04.qgd",0,0,0,0,0,0,0,0,0,0,0,0.00517176239055651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00848354776792821,0.468560443922705,0,0,0,0,0,0,0,0,0.00500571237354496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118746541001074,0,0,0,0,0.362154545045539,0.00884401543271388,0,0,0,0,0.0230334320659387
"ES_71_190718_Paul_832019_05.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714061633949598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00829016856066468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277648197489738,0,0,0,0,0,0
"ES_72_190718_Paul_832019_06.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309764121335919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548228541121211,0,0,0,0,0,0,0,0,0,0,0.142007337542871
"ESAug9_08262017.qgd",0,0,0,0,0,0,0,0.562965436910355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162482219780988,0,0,0,0.274552343308657
"ESJul21_08162017.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224006431874194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219226123462236,0,0,0,0.16935473530068,0,0,0,0,0,0,0,0.173287462205045,0,0,0,0,0,0,0,0,0,0,0.214125247157845
"ESJul26_08242017.qgd",0,0,0,0,0,0,0,0.278575308469168,0,0,0,0,0,0,0,0,0,0,0.00921284572388392,0,0,0,0,0,0,0,0,0,0.262001001127782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0790898213105572,0,0,0,0.0914675772877186,0,0,0,0.193693524611542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859599214693475
"ESJul30_08242017.qgd",0,0,0,0,0,0,0,0.0335550405684028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153181683925013,0,0,0,0,0.143695298239634,0,0,0,0,0,0,0,0,0.0617147636050994,0,0,0,0,0,0,0,0,0.0547703357825807,0,0,0.0194482515303209,0.0900434717878581,0,0,0,0.384201971238058,0.0488030777317311,0,0,0,0,0,0,0.0593142649792407,0,0,0,0,0,0.0142988720121822,0,0,0.0521569302340277,0,0.0226795538983629
