,beta.Bourbonene,beta.Copaen.4a.ol,Sesquisabinene,gamma.Muurolene,X.Z..3.Hexenyl..E..2.methyl.2.butenoate,alpha.Copaene,alpha.Cubebene,beta.Bisabolene,beta.Copaene,beta.Myrcene,gamma.Terpinene,X2.methylbutyl.acetate,Isohexanol,Cyclosativene,p.Mentha.1.3.8.triene,X2.2.6.Trimethyl.1.4.cyclohexanedione,X2.6.Dimethylocta.1.5.7.trien.3.ol,X2.Methyl.6.methylene.1.7.octadien.3.one,X2.6.Dimethyl.1.7.octadien.3.6.diol,Linalool.Oxide,X2.Heptanol,X.Z..2.Hexenol,X.E..2.Hexenal,Allo.Ocimene,Cosmene,X4.Oxoisophorone,beta.Dihydroagarofuran,Terpinen.4.ol,X.E..3.Hexenyl.acetate,X.Z..3.Hexenyl.propanoate,Methyl.3.hexenoate,Rose.furan,X2.6.Dimethyl.3.7.octadien.2.6.diol,Car.3.en.5.one,X.E..Sabinene.hydrate,Heptyl.acetate,Pentyl.acetate,Anisole,Borneol,alpha.Thujene,Verbenone,X.E..Pinocarveol,Pinocamphone,X.Z..Caryophyllene,X2.Methylbutanoic.acid,X.E..3.Hexenyl.butanoate,X.Z..3.Hexenyl.butanoate,X.Z..3.Methylbutylaldoxime,Camphene,Carveol,Caryophyllene,Caryophyllene.oxide,Limonene.Oxide,alpha.Bergamotene,X.Z..3.Hexenyl.2.methylbutanoate,X.Z..3.Hexenyl.isobutyrate,Copaene,beta.Elemene,gamma.Elemene,Terpinolene,beta.Sesquiphellandrene,D.Carvone,D.Limonene,X.E..beta.Ocimene.epoxide,epsilon.Muurolene,beta.Selinene,Carvacrol,X2.Phenylethanol,Prenol,Isobutylaldoxime,X.E..alpha.Bergamotene,X.E..beta.Ocimene,Tricyclene,alphaPinene,Total,LogTotal
AC_60_1907015_Paul_7162019_05.qgd,0,0,0,0,0,0,0,0,0,0,0,16782,709573,0,0,0,0,0,0,0,0,0,0,0,0,37509,0,0,686228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149509,1599601,14.28526478
AC_61_1907015_Paul_7162019_06.qgd,0,0,0,0,0,0,0,0,0,0,0,0,513480,0,0,0,0,0,0,0,0,0,0,0,0,209585,0,0,305527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498527,0,0,0,0,0,0,0,0,0,0,153135,1680254,14.33445553
AC_62_1907015_Pau_7162019_08.qgd,0,0,0,0,0,0,0,0,0,0,0,36827,1310073,0,0,0,0,0,0,0,0,9526,521400,0,0,16564,0,0,6786470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526097,0,0,0,0,0,0,0,0,0,0,146563,9353520,16.0512633
AC_63_1907015_Paul_7162019_09.qgd,0,0,0,0,0,0,0,0,0,0,0,0,408182,0,0,0,0,0,0,0,0,0,0,0,0,351642,0,0,1486379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131905,2378108,14.68181577
AC_83_190719_Paul_832019_03.qgd,0,0,0,0,0,0,0,0,0,0,0,0,180371,0,0,0,0,0,0,0,0,0,0,0,0,257661,0,0,186689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88822,0,0,0,0,0,0,0,0,0,0,0,80680,0,0,0,0,0,0,0,0,0,0,39275,833498,13.63338658
ACAug5_08242017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524973,0,0,0,0,0,0,0,0,0,0,255344,1011309,13.82675609
ACAug9_08262017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,93105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128763,221868,12.30983789
Achmil1Jun27_08232018.qgd,0,0,340775,183704,343127,0,0,0,0,1466559,314328,0,0,0,0,0,0,179959,0,0,0,0,164757,0,0,0,0,0,2656627,0,0,0,0,0,0,0,0,0,0,215830,0,0,0,0,0,0,412997,0,0,0,751498,0,0,0,104170,0,330582,0,0,0,0,0,7657636,0,0,0,0,0,0,0,0,0,0,465945,15588494,16.56204364
Achmil2Jul17_08232018.qgd,0,0,0,0,0,193042,0,0,0,1752787,0,0,0,0,0,0,0,202072,556714,0,4960017,0,0,0,0,382401,0,0,1913950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079522,0,66829,0,0,0,0,0,0,0,0,262167,16893689,0,0,0,0,0,0,0,0,0,0,654916,28918106,17.17997846
Achmil4Aug6_08222018.qgd,0,0,0,0,0,0,0,0,0,77230214,0,0,0,0,0,0,7801894,0,0,0,0,209171,1093194,449291,440103,0,0,578963,3656352,0,0,0,0,0,0,0,0,0,0,265104,0,0,0,0,0,0,0,2608715,0,0,3308627,1431716,0,0,217846,0,3205700,830170,616631,0,1528008,267117,22761359,0,0,0,0,0,201688,0,0,0,0,2354109,131055972,18.69113506
Achmil5Aug8_08222018.qgd,0,0,0,0,0,0,0,0,0,341829,112619,0,0,0,0,0,86711,126399,0,0,0,0,0,0,0,0,0,266050,0,0,0,0,0,0,2140484,0,0,0,0,68692,0,0,0,0,0,0,0,0,0,0,0,249068,0,0,0,0,0,0,0,0,0,0,71210,0,0,0,0,0,0,0,0,0,0,120740,3583802,15.09193481
ACJul21_08162017.qgd,0,0,0,0,0,0,0,0,0,0,0,0,214539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114995,474120,13.06921573
