"","beta.Bourbonene","beta.Copaen.4a.ol","Sesquisabinene","gamma.Muurolene","X.Z..3.Hexenyl..E..2.methyl.2.butenoate","alpha.Copaene","alpha.Cubebene","beta.Bisabolene","beta.Copaene","beta.Myrcene","gamma.Terpinene","X2.methylbutyl.acetate","Isohexanol","Cyclosativene","p.Mentha.1.3.8.triene","X2.2.6.Trimethyl.1.4.cyclohexanedione","X2.6.Dimethylocta.1.5.7.trien.3.ol","X2.Methyl.6.methylene.1.7.octadien.3.one","X2.6.Dimethyl.1.7.octadien.3.6.diol","Linalool.Oxide","X2.Heptanol","X.Z..2.Hexenol","X.E..2.Hexenal","Allo.Ocimene","Cosmene","X4.Oxoisophorone","beta.Dihydroagarofuran","Terpinen.4.ol","X.E..3.Hexenyl.acetate","X.Z..3.Hexenyl.propanoate","Methyl.3.hexenoate","Rose.furan","X2.6.Dimethyl.3.7.octadien.2.6.diol","Car.3.en.5.one","X.E..Sabinene.hydrate","Heptyl.acetate","Pentyl.acetate","Anisole","Borneol","alpha.Thujene","Verbenone","X.E..Pinocarveol","Pinocamphone","X.Z..Caryophyllene","X2.Methylbutanoic.acid","X.E..3.Hexenyl.butanoate","X.Z..3.Hexenyl.butanoate","X.Z..3.Methylbutylaldoxime","Camphene","Carveol","Caryophyllene","Caryophyllene.oxide","Limonene.Oxide","alpha.Bergamotene","X.Z..3.Hexenyl.2.methylbutanoate","X.Z..3.Hexenyl.isobutyrate","Copaene","beta.Elemene","gamma.Elemene","Terpinolene","beta.Sesquiphellandrene","D.Carvone","D.Limonene","X.E..beta.Ocimene.epoxide","epsilon.Muurolene","beta.Selinene","Carvacrol","X2.Phenylethanol","Prenol","Isobutylaldoxime","X.E..alpha.Bergamotene","X.E..beta.Ocimene","Tricyclene","alphaPinene"
"AC_60_1907015_Paul_7162019_05.qgd",0,0,0,0,0,0,0,0,0,0,0,0.10242737077787,0.666028337377965,0,0,0,0,0,0,0,0,0,0,0,0,0.153130573653791,0,0,0.654980520126943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305722804500706
"AC_61_1907015_Paul_7162019_06.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0.552807971938937,0,0,0,0,0,0,0,0,0,0,0,0,0.353177175904449,0,0,0.426419767344669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544699370371358,0,0,0,0,0,0,0,0,0,0,0.301890719492471
"AC_62_1907015_Pau_7162019_08.qgd",0,0,0,0,0,0,0,0,0,0,0,0.0627473850022286,0.374248620736829,0,0,0,0,0,0,0,0,0.0319130085805454,0.236101080072265,0,0,0.0420818739643811,0,0,0.851793706988655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237162146858496,0,0,0,0,0,0,0,0,0,0,0.125177027204085
"AC_63_1907015_Paul_7162019_09.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0.41429637916516,0,0,0,0,0,0,0,0,0,0,0,0,0.384533856742263,0,0,0.790585770738671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235512976999358
"AC_83_190719_Paul_832019_03.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0.465190755366095,0,0,0,0,0,0,0,0,0,0,0,0,0.555996506728215,0,0,0.473267937906096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326443475487388,0,0,0,0,0,0,0,0,0,0,0,0.311121958302379,0,0,0,0,0,0,0,0,0,0,0.217073003738058
"ACAug5_08242017.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.477921461627657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720487661355075,0,0,0,0,0,0,0,0,0,0,0.502482443823442
"ACAug9_08262017.qgd",0,0,0,0,0,0,0,0,0,0,0,0,0.64779735134145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76181270112476
"Achmil1Jun27_08232018.qgd",0,0,0.147853559074979,0.108556848360422,0.148362918028593,0,0,0,0,0.306723950858393,0.142000362984849,0,0,0,0,0,0,0.107444627739258,0,0,0,0,0.102806330414355,0,0,0,0,0,0.412822358811645,0,0,0,0,0,0,0,0,0,0,0.117666768166209,0,0,0,0,0,0,0.162768877474299,0,0,0,0.219564354076666,0,0,0,0.0817465159466765,0,0.14562553078714,0,0,0,0,0,0.700882601377749,0,0,0,0,0,0,0,0,0,0,0.17288815822466
"Achmil2Jul17_08232018.qgd",0,0,0,0,0,0.0817035602745216,0,0,0,0.246195238401926,0,0,0,0,0,0,0,0.0835926604178168,0.13874941119209,0,0.41414904080689,0,0,0,0,0.114993842740308,0,0,0.257264801791707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193210545225088,0,0.0480725941460426,0,0,0,0,0,0,0,0,0.0952147188928647,0.764323697322106,0,0,0,0,0,0,0,0,0,0,0.150490081594577
"Achmil4Aug6_08222018.qgd",0,0,0,0,0,0,0,0,0,0.767653459096892,0,0,0,0,0,0,0.243989768438818,0,0,0,0,0.0399505100586524,0.0913314203759132,0.0585511529921946,0.0579493750332768,0,0,0.0664656103332338,0.16703042708634,0,0,0,0,0,0,0,0,0,0,0.0449758865112271,0,0,0,0,0,0,0,0.141086321304135,0,0,0.158889609190537,0.104520151678627,0,0,0.0407705328130118,0,0.156398661055871,0.0795893778202487,0.0685937062486121,0,0.107977782955406,0.0451463200817633,0.41674527680554,0,0,0,0,0,0.0392293960255905,0,0,0,0,0.134024709926132
