,alpha-Pinene,beta-Pinene,alpha-Farnesene,Copaene,Longifolene,alpha-Ylangene,beta-Myrcene,beta-Linalool,Petasitene,Caryophyllene,Z-beta-Ocimene,E-beta-Ocimene,beta-Elemene,Benzyl alcohol,Indole,Methylbenzoate,E-3-Hexen-1-ol,delta-Cadinene,Z-3-Hexen-1-ol,1-Hexanol,"Pentanoic acid, 4-methyl",Germacrene D,alpha-Terpineol,Methyl salicylate,alpha-Thujene
L_10D_July30_07312019.qgd,143061,0,0,0,0,0,0,0,0,0,105287,0,0,0,0,0,0,0,0,0,27028,0,0,531092,0
L_13D_July30_07312019.qgd,3846899,0,0,0,0,0,0,297578,0,158187,57678,0,0,0,0,0,0,0,785358,0,8940,0,0,1110444,0
L_14D_July30_07312019.qgd,935771,0,0,0,0,0,0,255118,0,142961,0,0,0,0,0,201529,0,0,426822,0,67585,0,0,739266,0
L_15D_July30_07312019.qgd,1361402,0,0,266472,0,0,191971,331329,0,302518,160786,0,0,0,0,0,0,0,808929,164105,22764,96061,102993,1016253,0
L_16D_July30_07312019.qgd,584250,0,0,0,0,0,0,822426,0,142386,51577,0,0,67158,0,0,0,0,701921,0,12129,0,0,2057362,0
L_17D_July30_07312019.qgd,897000,0,0,0,0,0,0,386088,0,91873,0,0,0,0,0,0,0,0,227818,0,0,0,0,613581,0
L_18D_July30_07312019.qgd,2253261,0,0,0,0,0,0,0,0,657490,29070,0,0,53674,0,0,210365,0,0,0,8956,0,0,0,0
L_19D_July30_07312019.qgd,988576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733041,0
L_2057D_July30_07312019.qgd,148001,0,0,0,0,0,0,213427,0,56056,0,0,0,0,0,0,0,0,0,0,9437,0,0,368342,0
L_2060D_July30_852019_06.qgd,2319952,0,0,294563,0,0,583635,0,0,1367174,173244,0,0,0,0,0,2204211,0,0,0,11354,0,0,429611,0
L_2064D_July30_07312019.qgd,1385346,0,0,0,0,0,521374,0,0,171659,776352,0,0,62261,0,0,0,0,0,0,0,0,0,713113,0
L_2097D_July30_07312019.qgd,948869,0,0,307732,0,0,0,0,0,0,268136,0,1175735,0,0,0,0,0,0,0,107162,0,525235,882308,0
L_20D_July30_07312019.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_21D_July30_07312019.qgd,9003975,0,0,548942,0,0,739673,0,0,1081050,278566,0,0,88498,0,0,0,0,0,0,33480,375438,0,0,0
L_2251D_July30_852019_03.qgd,891067,0,0,0,0,0,0,0,0,0,0,0,0,44187,0,0,0,0,0,0,4837,0,0,0,0
L_2252D_July30_852019_02.qgd,2403619,0,0,0,0,0,0,0,0,80518,0,0,0,0,0,0,1332084,0,0,210283,14502,0,0,260344,0
L_2254D_July30_07312019.qgd,3845957,0,0,473761,0,0,1522323,772422,0,1789689,394801,0,0,0,0,0,0,0,0,0,20101,488628,379514,1104175,0
L_2259D_July30_07312019.qgd,1150565,0,0,0,0,0,0,175887,0,307735,63924,0,0,0,0,130539,4601,0,0,0,41463,0,0,545921,0
L_2260D_July30_07312019.qgd,1151881,0,0,0,879936,0,0,0,0,447314,129205,0,0,0,0,0,0,0,0,0,13694,0,113917,970805,0
L_2261D_July30_07312019.qgd,136611,0,0,0,0,0,0,523823,0,1003170,69829,0,0,0,0,0,0,0,866273,363258,23372,0,0,1545363,0
L_2262D_July30_07312019.qgd,3101217,0,0,563747,0,0,0,622513,0,1610249,0,0,0,0,0,59321,0,0,877266,165639,0,497510,294048,552321,0
L_2263D_July30_07312019.qgd,75736,0,0,0,0,0,0,21338,0,59231,0,0,0,0,0,0,0,0,0,104273,23618,0,0,175034,0
L_2264D_July30_07312019.qgd,185191,0,0,0,0,0,0,218040,0,70467,47716,0,0,0,0,0,0,0,0,652976,35213,0,0,605326,0
L_2265D_July30_07312019.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_2266D_July30_07312019.qgd,2216710,0,0,3768505,509292,0,0,0,0,0,271990,0,0,0,0,0,0,986971,0,0,63286,0,379122,0,0
L_2269D_July30_852019_05.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_2273D_July30_852019_04.qgd,651589,0,0,143835,115579,0,0,82621,0,0,49323,0,0,0,0,0,423004,0,0,0,0,0,126604,234143,31764
L_22D_July30_07312019.qgd,1172053,0,0,0,0,0,0,153406,0,2397218,129523,0,0,0,0,103336,9187,52604,0,0,13595,0,0,368260,0
L_23D_July30_07312019.qgd,591768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475936,0,0
L_24_DJuly30_07312019.qgd,0,0,0,0,11238136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L_25D_July30_07312019.qgd,6081990,1475257,0,0,0,74555,510091,0,0,350826,228549,0,0,0,0,103408,0,148761,0,0,9914,0,120265,427311,0
L_27D_July30_07312019.qgd,1364106,0,342144,240470,0,0,136480,0,0,86079,78341,0,0,77015,0,0,0,170760,0,0,11580,0,164256,285921,0
